"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"930",85,6,0.4644,93,45,48,165,0.0763888888888889,1.7741935483871,3.4375,3.66666666666667,0.375720844811754,1.9375,2.06666666666667,11.7083333333333,2.13728867992931
"931",85,7,0.5419,97,48,49,174,0.0739795918367347,1.79381443298969,3.55102040816327,3.625,0.389417360285375,1.97959183673469,2.02083333333333,11.6326530612245,2.21257465596943
"932",85,8,0.5878,99,50,49,185,0.0755102040816327,1.86868686868687,3.77551020408163,3.7,0.401899196493791,2.02040816326531,1.98,11.6326530612245,2.29200244753594
"933",85,9,0.6367,108,54,54,200,0.0685871056241427,1.85185185185185,3.7037037037037,3.7037037037037,0.353575,2,2,10.7222222222222,2.33533642681629
"934",85,10,0.6804,117,57,60,220,0.064327485380117,1.88034188034188,3.66666666666667,3.85964912280702,0.341611570247934,1.95,2.05263157894737,10.0666666666667,2.37970654109698
"935",85,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348541597935144,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"936",86,1,0.0459,26,15,11,28,0.16969696969697,1.07692307692308,2.54545454545455,1.86666666666667,0.487244897959184,2.36363636363636,1.73333333333333,24.3636363636364,2.53836974547632
"937",86,2,0.1379,45,23,22,54,0.106719367588933,1.2,2.45454545454545,2.34782608695652,0.47599451303155,2.04545454545455,1.95652173913044,17.7272727272727,2.02051765211086
"938",86,3,0.2154,52,27,25,71,0.105185185185185,1.36538461538462,2.84,2.62962962962963,0.438801825034715,2.08,1.92592592592593,17.68,2.37962432237217
"939",86,4,0.2643,67,35,32,96,0.0857142857142857,1.43283582089552,3,2.74285714285714,0.441080729166667,2.09375,1.91428571428571,14.625,2.36509027179252
"940",86,5,0.2957,77,38,39,119,0.0802968960863698,1.54545454545455,3.05128205128205,3.13157894736842,0.438175270108043,1.97435897435897,2.02631578947368,13.1282051282051,2.19653519615061
"941",86,6,0.3286,80,40,40,127,0.079375,1.5875,3.175,3.175,0.401574803149606,2,2,12.875,2.32166573948634
"942",86,7,0.4419,86,43,43,154,0.0832882639264467,1.7906976744186,3.58139534883721,3.58139534883721,0.403440715129027,2,2,12.2093023255814,2.3699955909472
"943",86,8,0.4856,97,46,51,175,0.0745950554134697,1.80412371134021,3.43137254901961,3.80434782608696,0.393991836734694,1.90196078431373,2.10869565217391,11,2.40908386280412
"944",86,9,0.5979,106,52,54,195,0.0694444444444444,1.83962264150943,3.61111111111111,3.75,0.37491124260355,1.96296296296296,2.03846153846154,10.9444444444444,2.48413065402964
"945",86,10,0.6472,111,54,57,208,0.0675763482781027,1.87387387387387,3.64912280701754,3.85185185185185,0.353272928994083,1.94736842105263,2.05555555555556,10.4385964912281,2.49999115413637
"946",86,11,0.7133,119,58,61,227,0.0641605426794799,1.90756302521008,3.72131147540984,3.91379310344828,0.348483378291836,1.95081967213115,2.05172413793103,9.95081967213115,2.44039970348216
"947",87,1,0.1133,43,22,21,45,0.0974025974025974,1.04651162790698,2.14285714285714,2.04545454545455,0.603456790123457,2.04761904761905,1.95454545454545,16.3809523809524,1.51947498590935
"948",87,2,0.1626,57,28,29,78,0.0960591133004926,1.36842105263158,2.68965517241379,2.78571428571429,0.430473372781065,1.96551724137931,2.03571428571429,14.7931034482759,1.96380887854508
"949",87,3,0.1955,63,30,33,87,0.0878787878787879,1.38095238095238,2.63636363636364,2.9,0.440216673272559,1.90909090909091,2.1,13.7272727272727,2.14063750724222
"950",87,4,0.3078,74,38,36,113,0.0826023391812866,1.52702702702703,3.13888888888889,2.97368421052632,0.409977288746182,2.05555555555556,1.94736842105263,13.6111111111111,2.28012477315955
"951",87,5,0.3739,89,43,46,146,0.0738119312436805,1.64044943820225,3.17391304347826,3.3953488372093,0.408425595796585,1.93478260869565,2.06976744186046,12.0434782608696,2.33915747190851
