"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"147",14,5,0.3536,"mod3",1.01080113760663,0.0357370537824825,28.2844003805959,1.03459438367756e-06,NA,NA,NA,NA,0.91
"158",15,5,0.2662,"mod3",0.931869679606189,0.0803860611339493,11.5924286681169,8.0151306779941e-06,NA,NA,NA,NA,0.91
"169",16,5,0.3118,"mod3",0.983634774557117,0.0693962292100708,14.1741818792421,7.70469877610718e-06,NA,NA,NA,NA,0.91
"180",17,5,0.3203,"mod3",0.892240668796321,0.0289917841021995,30.7756385619824,3.07696560737457e-11,NA,NA,NA,NA,0.91
"191",18,5,0.365,"mod3",0.894853589870912,0.0415675048846805,21.5277196058189,1.17633348150385e-07,NA,NA,NA,NA,0.91
"201",19,5,0.365,"mod3",1.12886983102827,0.0360278843202071,31.3332257036008,6.21656416718692e-07,NA,NA,NA,NA,0.91
"211",20,5,0.2692,"mod3",1.03700040508359,0.0417849366154466,24.817565588941,4.39733715426812e-08,NA,NA,NA,NA,0.91
"222",21,5,0.2877,"mod3",0.942887300851082,0.0330956176560687,28.4897931396723,3.93617130932823e-10,NA,NA,NA,NA,0.91
"233",22,5,0.3173,"mod3",0.813164192548498,0.0524982818590513,15.489348674909,8.53351938372323e-08,NA,NA,NA,NA,0.91
"244",23,5,0.3381,"mod3",0.84087110234771,0.0289460853373617,29.0495620581332,2.13475615049348e-09,NA,NA,NA,NA,0.91
"255",24,5,0.317,"mod3",1.06153045707625,0.0427551826267749,24.8281118652382,7.40468342507726e-09,NA,NA,NA,NA,0.91
"266",25,5,0.2798,"mod3",1.10757583060519,0.0956657319304948,11.5775608282587,8.435595606486e-05,NA,NA,NA,NA,0.91
"277",26,5,0.4181,"mod3",1.66867252606655,0.0891542650456035,18.7166875887878,4.79750369172168e-05,NA,NA,NA,NA,0.91
"288",27,5,0.3319,"mod3",1.1976027970712,0.0559431588715589,21.4074932704604,1.22272683064459e-07,NA,NA,NA,NA,0.91
"299",28,5,0.3949,"mod3",1.02376471486805,0.0335124649375118,30.5487739197037,1.43192842922471e-09,NA,NA,NA,NA,0.91
"310",29,5,0.3551,"mod3",0.933254891744167,0.102950837860952,9.0650538755658,1.75749637721553e-05,NA,NA,NA,NA,0.91
"321",30,5,0.3312,"mod3",0.872250534128481,0.0495280379761895,17.6112474826444,7.41348461623844e-09,NA,NA,NA,NA,0.91
"332",31,5,0.365,"mod3",0.878610146548398,0.0462791901146449,18.9849939977745,6.13204621061018e-08,NA,NA,NA,NA,0.91
"343",32,5,0.2619,"mod3",1.04652115331043,0.0601601202031671,17.3955961154369,5.10262762496521e-07,NA,NA,NA,NA,0.91
"354",33,5,0.3484,"mod3",1.06179342194407,0.034817045653502,30.4963675698106,2.14548934232415e-10,NA,NA,NA,NA,0.91
"365",34,5,0.2836,"mod3",0.869732700413594,0.0283469857498317,30.6816642901356,1.38342354356847e-09,NA,NA,NA,NA,0.91
"375",35,5,0.3606,"mod3",0.898304460062909,0.0687050146226422,13.0748019630996,3.5684879177599e-06,NA,NA,NA,NA,0.91
"386",36,5,0.2837,"mod3",0.94975560198414,0.0353235907930196,26.8872892212256,6.59119197032453e-10,NA,NA,NA,NA,0.91
"397",37,5,0.3455,"mod3",0.918323183887813,0.0464634178186663,19.7644346240686,2.12120472081439e-07,NA,NA,NA,NA,0.91
"419",39,5,0.2954,"mod3",1.29127769931398,0.0300749286227426,42.9353537463599,1.29332531975503e-07,NA,NA,NA,NA,0.91
"429",40,5,0.3616,"mod3",1.19559941532918,0.0591656736375294,20.2076532188894,9.5406204398425e-07,NA,NA,NA,NA,0.91
"440",41,5,0.2893,"mod3",1.07199537837038,0.0391334455921901,27.3933297246976,2.21673959307279e-08,NA,NA,NA,NA,0.91
"451",42,5,0.2994,"mod3",1.05791990378292,0.0484608613471585,21.8303982713866,2.04500120766534e-08,NA,NA,NA,NA,0.91
"462",43,5,0.3169,"mod3",0.997331852943257,0.0798678306879138,12.4872785995699,4.8656601780594e-06,NA,NA,NA,NA,0.91
"473",44,5,0.2728,"mod3",1.14946252947284,0.0722880722950307,15.9011368401347,1.79033294158052e-05,NA,NA,NA,NA,0.91
"483",45,5,0.223,"mod3",1.26636641006399,0.0284442404956458,44.5210133228146,1.52206006820131e-06,NA,NA,NA,NA,0.91
"494",46,5,0.3972,"mod3",1.02875485206126,0.0294655531340513,34.9138143574301,4.95463627987892e-10,NA,NA,NA,NA,0.91
"505",47,5,0.4102,"mod3",0.746917091912949,0.0288105777899074,25.9250993631443,1.67685673730096e-10,NA,NA,NA,NA,0.91
"516",48,5,0.3053,"mod3",1.05707962997224,0.0525039984766995,20.1333167118949,3.86664688416185e-08,NA,NA,NA,NA,0.91
"527",49,5,0.3584,"mod3",0.862672677896767,0.0426696388133165,20.2174825446974,3.74189863407057e-08,NA,NA,NA,NA,0.91
"538",50,5,0.3235,"mod3",0.900244009677975,0.0508937797518895,17.6886844338684,1.06702148830083e-07,NA,NA,NA,NA,0.91
"549",51,5,0.3327,"mod3",1.3481120437921,0.0400189980087799,33.6868015410165,4.33424319977323e-07,NA,NA,NA,NA,0.91
"560",52,5,0.2775,"mod3",1.15375715514026,0.0663068959993909,17.400258868261,6.40362227595477e-05,NA,NA,NA,NA,0.91
"582",54,5,0.3979,"mod3",1.53951218287435,0.103638403467829,14.8546497375583,0.000119589536972333,NA,NA,NA,NA,0.91
"593",55,5,0.3324,"mod3",1.52778693255738,0.0712787808168727,21.4339655511578,0.000222213499065601,NA,NA,NA,NA,0.91
"615",57,5,0.3666,"mod3",0.933272149063226,0.0738742337802831,12.633256567357,4.49929804253075e-06,NA,NA,NA,NA,0.91
"626",58,5,0.2836,"mod3",0.91799382810066,0.0274051820264276,33.4970892444871,6.88736711679216e-10,NA,NA,NA,NA,0.91
"637",59,5,0.4265,"mod3",0.933318424939542,0.0526150239415871,17.7386296730703,4.46272096184076e-07,NA,NA,NA,NA,0.91
"647",60,5,0.3011,"mod3",1.03215326270846,0.0422048368868749,24.4558050413754,8.34422117574469e-09,NA,NA,NA,NA,0.91
"658",61,5,0.3339,"mod3",1.0641545493397,0.0455411466331675,23.3668808980906,6.67353482014868e-08,NA,NA,NA,NA,0.91
"669",62,5,0.2862,"mod3",0.918127080967264,0.0349802015436686,26.2470494865815,8.16740453627743e-10,NA,NA,NA,NA,0.91
"680",63,5,0.3034,"mod3",0.916167577724203,0.0394293462369789,23.2356776147857,2.74755855112017e-06,NA,NA,NA,NA,0.91
"691",64,5,0.3507,"mod3",1.02857582546051,0.0325091898908784,31.6395403549909,8.14232267667026e-09,NA,NA,NA,NA,0.91
"702",65,5,0.2516,"mod3",1.0698640331602,0.0957294057348062,11.1759184646355,1.02346747253152e-05,NA,NA,NA,NA,0.91
"713",66,5,0.3034,"mod3",1.05640853541562,0.0400754011655345,26.360523031374,2.8943615066303e-08,NA,NA,NA,NA,0.91
"724",67,5,0.3163,"mod3",0.95915750746046,0.028013257551592,34.2394134525048,5.78594253667081e-10,NA,NA,NA,NA,0.91
"745",69,5,0.3144,"mod3",0.755483492816987,0.0386092281171078,19.5674332189571,1.10098360631505e-08,NA,NA,NA,NA,0.91
"756",70,5,0.306,"mod3",1.40948129755438,0.0535603114837581,26.3157785776096,1.98687591372873e-07,NA,NA,NA,NA,0.91
"778",72,5,0.3213,"mod3",0.937800200815223,0.0483479358190014,19.3969025756557,5.18152695926292e-08,NA,NA,NA,NA,0.91
"789",73,5,0.3006,"mod3",1.68259265691254,0.106986716617262,15.7271174414288,9.54858152096036e-05,NA,NA,NA,NA,0.91
"799",74,5,0.3282,"mod3",1.24229994910697,0.0830740733653843,14.9541234560989,2.42054552099796e-05,NA,NA,NA,NA,0.91
"821",76,5,0.3983,"mod3",1.13982303783612,0.13462796226947,8.46646579671664,0.000148373882398203,NA,NA,NA,NA,0.91
"832",77,5,0.3133,"mod3",0.95964641159851,0.0384809056952912,24.9382490941719,4.25195778613812e-08,NA,NA,NA,NA,0.91
"843",78,5,0.3853,"mod3",0.989077781478512,0.0508120909221441,19.4654021027005,2.35609724852772e-07,NA,NA,NA,NA,0.91
"854",79,5,0.2966,"mod3",1.11263662215922,0.0305879656217354,36.3749794909079,3.08337420323967e-09,NA,NA,NA,NA,0.91
"864",80,5,0.2972,"mod3",1.05980824959729,0.0476875422405448,22.224006518336,9.44063317367338e-08,NA,NA,NA,NA,0.91
"875",81,5,0.3594,"mod3",1.24771137549189,0.0500676808177873,24.9204947205908,4.2729970785144e-08,NA,NA,NA,NA,0.91
"886",82,5,0.2661,"mod3",1.17742336385114,0.0456266277224796,25.8056188375947,2.23249962906186e-07,NA,NA,NA,NA,0.91
"897",83,5,0.3179,"mod3",1.22531688108817,0.0417323775591806,29.3613005717334,1.36905394185176e-08,NA,NA,NA,NA,0.91
"908",84,5,0.3927,"mod3",1.10386859023584,0.0569103878250411,19.3966098707577,5.18214080064487e-08,NA,NA,NA,NA,0.91
"919",85,5,0.2416,"mod3",1.16989322107322,0.0302499917250057,38.674166647991,2.01149717940451e-09,NA,NA,NA,NA,0.91
"930",86,5,0.316,"mod3",1.01135023552438,0.0476987045975635,21.2028868300973,1.30656467932505e-07,NA,NA,NA,NA,0.91
"941",87,5,0.3152,"mod3",0.749919106798383,0.046905554778498,15.9878528319242,1.89144425344214e-08,NA,NA,NA,NA,0.91
"952",88,5,0.4274,"mod3",0.909986724081882,0.0512262715788302,17.7640631659389,1.03211772130124e-07,NA,NA,NA,NA,0.91
"974",90,5,0.223,"mod3",0.784204452011243,0.0278240443960645,28.1844163576077,7.34694195151131e-11,NA,NA,NA,NA,0.91
"984",91,5,0.2252,"mod3",1.00091100562482,0.0446409758619926,22.4213513772444,1.65667079932971e-08,NA,NA,NA,NA,0.91
"995",92,5,0.3317,"mod3",1.21463586418263,0.0236318342544705,51.3982897435417,3.63936332443531e-09,NA,NA,NA,NA,0.91
"1027",95,5,0.3697,"mod3",0.96657681682421,0.0414509049242896,23.3185938543361,1.21551857002243e-08,NA,NA,NA,NA,0.91
"1037",96,5,0.3927,"mod3",1.09571403340812,0.0599191865047827,18.2865305309287,8.99149648435698e-06,NA,NA,NA,NA,0.91
"1048",97,5,0.3843,"mod3",0.89114723976936,0.038592855559291,23.0909899476154,5.24426676177264e-10,NA,NA,NA,NA,0.91
"1059",98,5,0.309,"mod3",0.988902893374303,0.0723569395746193,13.6670082950991,9.53245209082635e-06,NA,NA,NA,NA,0.91
"1070",99,5,0.2939,"mod3",1.19506752267399,0.0366433018300489,32.6135327055597,5.52717817425795e-08,NA,NA,NA,NA,0.91
"1081",100,5,0.3268,"mod3",1.09026217309416,0.0834409279023672,13.0662757534271,0.000198049117958359,NA,NA,NA,NA,0.91
"6",1,6,0.3596,"mod3",0.89632121405452,0.0583220940220141,15.3684676293721,9.13559314565771e-08,NA,NA,NA,NA,0.93
"17",2,6,0.4262,"mod3",1.41874761391383,0.0538666625310798,26.3381384190129,1.47466720163013e-06,NA,NA,NA,NA,0.93
"38",4,6,0.3958,"mod3",0.739280457125818,0.0539906705701117,13.6927444930657,7.79730254449555e-07,NA,NA,NA,NA,0.93
"49",5,6,0.4145,"mod3",1.12196291928899,0.0472114866715788,23.7646174350279,3.95231475175031e-10,NA,NA,NA,NA,0.93
"60",6,6,0.398,"mod3",0.9771482949451,0.0528410559289441,18.4922174200887,3.35326581273771e-07,NA,NA,NA,NA,0.93
"82",8,6,0.4213,"mod3",1.603682954478,0.0950322537326408,16.8751438747283,2.76721165280629e-06,NA,NA,NA,NA,0.93
"93",9,6,0.3005,"mod3",1.06761888985308,0.0611261214701993,17.4658372586845,2.25921185867586e-06,NA,NA,NA,NA,0.93
"104",10,6,0.4286,"mod3",0.960593684075925,0.0311378520718737,30.8497092817656,9.70767843954092e-09,NA,NA,NA,NA,0.93
"115",11,6,0.3668,"mod3",0.929353726666714,0.0558233048520174,16.6481316204827,6.89457412724273e-07,NA,NA,NA,NA,0.93
