"","r","area","area_ha","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"138",13,6,0.3767,"mod3",0.886392413837769,0.193411611010522,4.58293278881559,0.0037588950483196,NA,NA,NA,NA
"139",13,7,0.4542,"mod2",NA,NA,NA,NA,4.23002952066033,0.895457764638512,4.72387385279746,0.00324499228029554
"140",13,8,0.5203,"mod2",NA,NA,NA,NA,43.4467452741941,13.0136277974945,3.33855754523415,0.015639678726785
"141",13,9,0.5696,"mod2",NA,NA,NA,NA,10.1355641454896,1.74983815428736,5.79228662985545,0.000174783838893808
"142",13,10,0.6819,"mod2",NA,NA,NA,NA,4.31631278597713,0.745729335737714,5.78804209399542,0.000671700379301507
"143",13,11,0.7133,"mod2",NA,NA,NA,NA,4.82914637847958,1.183723677228,4.07962303312906,0.00650484896874027
"144",14,1,0.092,"mod3",1.32405547087134,0.171719055317336,7.71059139840066,0.00453436221712034,NA,NA,NA,NA
"145",14,2,0.2053,"mod2",NA,NA,NA,NA,16.0876371383588,5.24263367233604,3.06861744379527,0.0373432566279727
"146",14,3,0.3176,"mod3",0.697722778552185,0.216632289921233,3.22076999142591,0.0322569087993309,NA,NA,NA,NA
"147",14,4,0.3635,"mod2",NA,NA,NA,NA,6.60493396478805,1.29879746229584,5.08542259784889,0.00142240895644664
"148",14,5,0.4128,"mod2",NA,NA,NA,NA,4.58955473759365,0.908687994239276,5.05074873519802,0.00147857733180197
"149",14,6,0.4617,"mod2",NA,NA,NA,NA,4.73548808959416,1.02562575916004,4.61716961308813,0.00362609420925003
"150",14,7,0.5054,"mod2",NA,NA,NA,NA,5.31530196581366,1.34949547294002,3.93873271337006,0.00763573538049405
"151",14,8,0.5715,"mod2",NA,NA,NA,NA,4.61095793548597,0.783515579943013,5.88496011249876,0.000608656518168113
"152",14,9,0.6044,"mod2",NA,NA,NA,NA,4.66246945477009,0.914698988025734,5.09727190672142,0.00222736435777765
"153",14,10,0.6819,"mod3",0.999460071757269,0.184944822111476,5.4040986946628,0.00293252803074712,NA,NA,NA,NA
"154",14,11,0.7133,"mod2",NA,NA,NA,NA,5.94029693152364,1.05711797372318,5.61933207000713,0.00049888328997412
"155",15,1,0.0493,"mod2",NA,NA,NA,NA,3.83321848527757,2.84256516041913,1.34850681301968,0.406213202331808
"156",15,2,0.1616,"mod1",-2.0711213443213,0.314973267153432,-6.57554643617547,0.00122075802795468,1.31529094348732,0.181584779660482,7.24339862595633,0.000782990498871965
"157",15,3,0.2391,"mod2",NA,NA,NA,NA,6.48790846395929,1.93038190699175,3.3609455416363,0.0200871632723261
"158",15,4,0.3052,"mod3",0.831983944941359,0.200444871589069,4.15068711085314,0.0142523388521695,NA,NA,NA,NA
"159",15,5,0.3489,"mod2",NA,NA,NA,NA,5.74270712931204,1.314473609968,4.36882649127648,0.00472503920991126
"160",15,6,0.3818,"mod3",0.922013538120036,0.131332070763717,7.02047514181707,0.000416823463528198,NA,NA,NA,NA
