"","replicate","areas","areas_ha","species","species_tl1","species_tl2","links","connectances","links_per_sp","indegree","outdegree","modularity","normalised_indegree","normalised_outdegree","potential_indegree","sd_gen"
"711",65,7,0.4074,34,21,13,36,0.131868131868132,1.05882352941176,2.76923076923077,1.71428571428571,0.541666666666667,2.61538461538462,1.61904761904762,6.84615384615385,2.67556977686919
"712",65,8,0.5207,39,25,14,41,0.117142857142857,1.05128205128205,2.92857142857143,1.64,0.53837001784652,2.78571428571429,1.56,6.42857142857143,2.90117238780486
"713",65,9,0.5521,44,29,15,49,0.11264367816092,1.11363636363636,3.26666666666667,1.68965517241379,0.520616409829238,2.93333333333333,1.51724137931034,6.53333333333333,3.17416036524862
"714",65,10,0.6644,44,29,15,50,0.114942528735632,1.13636363636364,3.33333333333333,1.72413793103448,0.5072,2.93333333333333,1.51724137931034,6.53333333333333,3.2870539711912
"715",65,11,0.7133,48,30,18,55,0.101851851851852,1.14583333333333,3.05555555555556,1.83333333333333,0.530909090909091,2.66666666666667,1.6,5.77777777777778,3.16047540161599
"716",66,1,0.0661,9,5,4,6,0.3,0.666666666666667,1.5,1.2,0.611111111111111,2.25,1.8,12.5,0.866025403784439
"717",66,2,0.112,11,6,5,8,0.266666666666667,0.727272727272727,1.6,1.33333333333333,0.59375,2.2,1.83333333333333,10.6,0.753118516569603
"718",66,3,0.2243,15,8,7,12,0.214285714285714,0.8,1.71428571428571,1.5,0.680555555555555,2.14285714285714,1.875,7.85714285714286,0.944911182523068
"719",66,4,0.268,24,13,11,23,0.160839160839161,0.958333333333333,2.09090909090909,1.76923076923077,0.58601134215501,2.18181818181818,1.84615384615385,6.36363636363636,1.77419202642305
"720",66,5,0.3009,29,16,13,27,0.129807692307692,0.931034482758621,2.07692307692308,1.6875,0.60082304526749,2.23076923076923,1.8125,6.84615384615385,2.21258991876953
"721",66,6,0.3323,35,21,14,36,0.122448979591837,1.02857142857143,2.57142857142857,1.71428571428571,0.524691358024691,2.5,1.66666666666667,6.92857142857143,2.40315754619477
"722",66,7,0.4098,35,21,14,37,0.125850340136054,1.05714285714286,2.64285714285714,1.76190476190476,0.506939371804237,2.5,1.66666666666667,6.92857142857143,2.53300403802481
"723",66,8,0.4587,41,24,17,42,0.102941176470588,1.02439024390244,2.47058823529412,1.75,0.557256235827664,2.41176470588235,1.70833333333333,6.05882352941176,2.53897851469692
"724",66,9,0.5507,44,27,17,49,0.106753812636166,1.11363636363636,2.88235294117647,1.81481481481481,0.524364847980008,2.58823529411765,1.62962962962963,6.05882352941176,3.02657460794565
"725",66,10,0.664,48,30,18,54,0.1,1.125,3,1.8,0.540809327846365,2.66666666666667,1.6,5.77777777777778,3.21217726607219
