"","rep","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"36454",100,240,"Salgal","mod3",2.35579510928087,0.112012458297903,21.0315454644832,0.00023514394642714,NA,NA,NA,NA,0.96
"231",1,241,"Salgal","mod3",2.04944093033334,0.144334938748599,14.199201857168,0.000756794961520822,NA,NA,NA,NA,0.98
"591",2,241,"Salgal","mod3",1.9044217771036,0.159948904266134,11.9064384081987,0.000285017449184416,NA,NA,NA,NA,0.98
"964",3,241,"Salgal","mod3",1.93343804094651,0.149875187768415,12.9003210587067,0.000208232610862335,NA,NA,NA,NA,0.98
"1334",4,241,"Salgal","mod3",1.8759572130272,0.14876897688596,12.6098683495365,0.000227675641901605,NA,NA,NA,NA,0.98
"1693",5,241,"Salgal","mod3",2.00801551819545,0.13202672247981,15.2091597858345,0.000617215967849589,NA,NA,NA,NA,0.98
"2052",6,241,"Salgal","mod3",1.79796891646873,0.178321370651994,10.0827450456153,0.00207761606001064,NA,NA,NA,NA,0.98
"2422",7,241,"Salgal","mod3",1.99032483007132,0.153672371195522,12.9517415172762,0.000205008999010509,NA,NA,NA,NA,0.98
"2787",8,241,"Salgal","mod3",1.9131784413115,0.176806095663862,10.8207719543153,0.00168850336787891,NA,NA,NA,NA,0.98
"3155",9,241,"Salgal","mod3",1.8600160747351,0.156332168739505,11.8978460398284,0.000285822765051367,NA,NA,NA,NA,0.98
"3524",10,241,"Salgal","mod3",2.02651389896995,0.14405050909149,14.0680787020535,0.000148157154303918,NA,NA,NA,NA,0.98
"4254",12,241,"Salgal","mod3",1.8690478244623,0.176931828141345,10.5636608409945,0.00181213812076198,NA,NA,NA,NA,0.98
"4611",13,241,"Salgal","mod3",2.11284769124932,0.0956842471371565,22.0814580713658,2.48957672414102e-05,NA,NA,NA,NA,0.98
"4978",14,241,"Salgal","mod3",1.9972099589592,0.134348742981168,14.8658626395868,0.000660496626914072,NA,NA,NA,NA,0.98
"5351",15,241,"Salgal","mod3",1.9808157130219,0.113355120897924,17.4744263631955,0.000408474920586267,NA,NA,NA,NA,0.98
"5711",16,241,"Salgal","mod3",1.77155213669382,0.180937784831065,9.79094630979287,0.000609870878164837,NA,NA,NA,NA,0.98
"6079",17,241,"Salgal","mod3",1.96842637801643,0.149551107138105,13.1622320669191,0.000947393446798618,NA,NA,NA,NA,0.98
"6433",18,241,"Salgal","mod3",1.939753863301,0.223700895312476,8.67119400926611,0.00322716942502669,NA,NA,NA,NA,0.98
"6798",19,241,"Salgal","mod3",2.07835387089006,0.170316515563362,12.2028909763414,0.00118489990214625,NA,NA,NA,NA,0.98
"7166",20,241,"Salgal","mod3",1.94498719941979,0.151789599223237,12.8137053485417,0.00102566469941577,NA,NA,NA,NA,0.98
"7530",21,241,"Salgal","mod3",1.98318432666609,0.131229967948317,15.1122823366621,0.000111752880637575,NA,NA,NA,NA,0.98
"7889",22,241,"Salgal","mod3",1.86452102240086,0.208619557948931,8.93742197870674,0.00295528307853257,NA,NA,NA,NA,0.98
"8259",23,241,"Salgal","mod3",1.84956879271014,0.187696585538421,9.85403536992708,0.000594909472199876,NA,NA,NA,NA,0.98
"8627",24,241,"Salgal","mod3",2.05021129184731,0.119961154328698,17.0906265725791,6.87497965408958e-05,NA,NA,NA,NA,0.98
"8997",25,241,"Salgal","mod3",2.06686412613907,0.152205583856604,13.5794237883303,0.000863798550071481,NA,NA,NA,NA,0.98
"9362",26,241,"Salgal","mod3",1.80138800331631,0.161801925917889,11.133291480291,0.000370383928204989,NA,NA,NA,NA,0.98
"9722",27,241,"Salgal","mod3",1.97449259893837,0.145456877159533,13.5744190133602,0.000864742065440545,NA,NA,NA,NA,0.98
"10094",28,241,"Salgal","mod3",1.80714717891218,0.175024040687826,10.3251368886827,0.000496462394112738,NA,NA,NA,NA,0.98
"10462",29,241,"Salgal","mod3",1.8402847773545,0.144610229936651,12.7258270605106,0.00104674727883716,NA,NA,NA,NA,0.98
"10828",30,241,"Salgal","mod3",1.91744277749763,0.13760538278701,13.9343588067736,0.00015382860849686,NA,NA,NA,NA,0.98
"11201",31,241,"Salgal","mod3",2.01310639484004,0.153811639094168,13.0881278341202,0.000963353312069817,NA,NA,NA,NA,0.98
"11565",32,241,"Salgal","mod3",2.08862406879225,0.113447819034103,18.4104382664634,0.000349691250841664,NA,NA,NA,NA,0.98
"11935",33,241,"Salgal","mod3",1.74204062906077,0.166163802208578,10.4838755848525,0.0018529356400914,NA,NA,NA,NA,0.98
"12658",35,241,"Salgal","mod3",1.85993264441592,0.233597516862806,7.96212506620212,0.00413290683789377,NA,NA,NA,NA,0.98
"13028",36,241,"Salgal","mod3",2.13343370986727,0.172754667570441,12.3494996683511,0.00114383929990086,NA,NA,NA,NA,0.98
"13399",37,241,"Salgal","mod3",2.11885938114126,0.181951787993482,11.6451693303347,0.00136026263944,NA,NA,NA,NA,0.98
"13771",38,241,"Salgal","mod3",1.83305371406146,0.165721193137647,11.0610699775673,0.000379892829372076,NA,NA,NA,NA,0.98
"14133",39,241,"Salgal","mod3",1.82922922201719,0.177588083012733,10.3004052467081,0.000501102247767802,NA,NA,NA,NA,0.98
"14498",40,241,"Salgal","mod3",2.08774718144428,0.112131906812383,18.6186718909317,0.000338168237850327,NA,NA,NA,NA,0.98
"14851",41,241,"Salgal","mod3",2.04186691635247,0.148461632663865,13.7534989998089,0.000161936688636875,NA,NA,NA,NA,0.98
"15217",42,241,"Salgal","mod3",1.85654256273604,0.161970716226667,11.4622112316768,0.000330640201336384,NA,NA,NA,NA,0.98
"15588",43,241,"Salgal","mod3",2.02090560229309,0.267353776255105,7.55891923652791,0.00480157285614844,NA,NA,NA,NA,0.98
"15955",44,241,"Salgal","mod3",2.16659395976585,0.102301082749191,21.1786024306082,2.93855923935724e-05,NA,NA,NA,NA,0.98
"16318",45,241,"Salgal","mod3",1.89492106785663,0.17536607303741,10.8055169112009,0.00169552104268927,NA,NA,NA,NA,0.98
"16684",46,241,"Salgal","mod3",1.91016028036439,0.213202534463316,8.95936948016467,0.00293424281928853,NA,NA,NA,NA,0.98
"17051",47,241,"Salgal","mod3",1.83118987680771,0.173096522508428,10.5790101977269,0.00180442635580555,NA,NA,NA,NA,0.98
"17416",48,241,"Salgal","mod3",1.84792290509,0.173005548077737,10.6812927424713,0.00175413327114632,NA,NA,NA,NA,0.98
"17776",49,241,"Salgal","mod3",1.79872665076959,0.201780552014421,8.91427163228812,0.000875434178032373,NA,NA,NA,NA,0.98
"18145",50,241,"Salgal","mod3",2.09186963898613,0.168367582217486,12.4244204937504,0.00112358442782888,NA,NA,NA,NA,0.98
"18517",51,241,"Salgal","mod3",1.92007330056354,0.131580911042588,14.5923393093249,0.000128284880406982,NA,NA,NA,NA,0.98
"18875",52,241,"Salgal","mod3",1.99272337311493,0.118331659790699,16.8401539929347,7.28829546361113e-05,NA,NA,NA,NA,0.98
"19245",53,241,"Salgal","mod3",1.98067343606175,0.178851178439115,11.0744220605514,0.00157726321726574,NA,NA,NA,NA,0.98
"19611",54,241,"Salgal","mod3",1.9044217771036,0.159948904266134,11.9064384081987,0.000285017449184416,NA,NA,NA,NA,0.98
"19968",55,241,"Salgal","mod3",1.94174905631907,0.134110662267078,14.4787075352154,0.000132295637898412,NA,NA,NA,NA,0.98
"20334",56,241,"Salgal","mod3",1.86921737529166,0.172848363952259,10.8142034587493,0.000414775088951034,NA,NA,NA,NA,0.98
"20703",57,241,"Salgal","mod3",1.98764761128245,0.136138016780437,14.6002392152379,0.000128011715105272,NA,NA,NA,NA,0.98
"21061",58,241,"Salgal","mod3",1.9044217771036,0.159948904266134,11.9064384081987,0.000285017449184416,NA,NA,NA,NA,0.98
"21429",59,241,"Salgal","mod3",1.93673424710251,0.135804691560347,14.2611733427625,0.000747085965045473,NA,NA,NA,NA,0.98
"21796",60,241,"Salgal","mod3",1.84758989995341,0.163378799025972,11.3086270126132,0.00034850131469266,NA,NA,NA,NA,0.98
