"","replicate","area","region","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"148497",32,1218,"Pannonian","mod1",-0.80240487435259,0.0720827040350023,-11.1317254963542,6.98769486264475e-13,11.934797703387,0.984568724910191,12.1218533571393,6.80041902382718e-14,1
"149041",38,1218,"Pannonian","mod1",-0.776028126886927,0.0723183954119843,-10.7307155042094,4.63833677135562e-13,12.1952606634889,1.0425779540624,11.6972170915087,3.68018297658543e-14,1
"147953",26,1219,"Pannonian","mod1",-0.800596907011806,0.0769342832096107,-10.4062437916078,4.16648166056653e-12,11.7351951516285,1.03653916253289,11.3215164229322,4.42881082412377e-13,1
"148939",37,1219,"Pannonian","mod1",-0.86391808028149,0.0837615360956062,-10.3140190659279,1.05825681112059e-11,11.2007890705738,1.00238190016737,11.1741733053077,1.40090159870738e-12,1
"149612",44,1219,"Pannonian","mod1",-0.84655933354207,0.0903766376873407,-9.36701514024846,1.49181355070858e-10,11.5537399927895,1.13517007518521,10.1779814719873,2.09936835492026e-11,1
"208053",85,1219,"Pannonian","mod1",-0.744431111285629,0.0787957211167113,-9.44760833120603,1.22294337731801e-10,12.595063607244,1.20940110965447,10.4142980411539,1.20479256110377e-11,1
"151813",69,1220,"Pannonian","mod1",-0.740799262241378,0.0755957047769557,-9.79948879935835,2.68194456630114e-11,12.4686212205215,1.16271648415108,10.7236986750257,2.73497889957457e-12,1
"146835",14,1221,"Pannonian","mod1",-0.833208962377973,0.080681733330887,-10.3271078592334,7.18652027180851e-12,11.6926311791063,1.03572202186266,11.289352675999,7.13891555710284e-13,1
"207034",74,1221,"Pannonian","mod1",-0.701615878199127,0.0743512092610059,-9.43650930728164,6.77795275244454e-11,13.3719747419536,1.2879125305528,10.3826730657043,6.26907001943263e-12,1
"146481",10,1222,"Pannonian","mod1",-0.662125641825207,0.0759692533662129,-8.71570553199205,4.49604678315028e-10,13.9729733495502,1.4468153366793,9.65774483813579,3.84407763917707e-11,1
"145934",4,1224,"Pannonian","mod1",-0.828791908783634,0.0788827394616993,-10.5066319253028,6.673865076066e-12,11.7747202659743,1.03241939697516,11.4049777643393,8.27275217033135e-13,1
"147855",25,1224,"Pannonian","mod1",-0.84033446856413,0.0805181926539909,-10.4365788757242,7.88777616670324e-12,11.4856441247332,1.01318074965028,11.3362241916831,9.67151170403859e-13,1
"150755",57,1224,"Pannonian","mod1",-0.715270941224492,0.0749636854012547,-9.54156585813376,3.82592514928083e-11,13.2944135676321,1.27523988156916,10.4250296432648,3.97482865770351e-12,1
"151453",65,1224,"Pannonian","mod1",-0.723934534926491,0.0713057579255844,-10.1525396543993,5.69654595912819e-12,13.1097757759181,1.1685765446761,11.2185854111523,3.84932745311299e-13,1
"151908",70,1224,"Pannonian","mod1",-0.835471517915426,0.0837694012450248,-9.97346889792943,4.86709596855919e-11,11.6688020585174,1.08058478698698,10.7985992390786,7.42032090092362e-12,1
"206842",72,1224,"Pannonian","mod1",-0.687443056215713,0.0781144380004614,-8.80046088549792,3.58666839493123e-10,13.6440062950383,1.39568096557735,9.77587760494693,2.84716982619737e-11,1
"150145",50,1225,"Pannonian","mod1",-0.856888277370413,0.0787105071301357,-10.8865805673654,8.77019767363072e-13,11.4070268583651,0.962107528247277,11.856291031363,8.23084693218134e-14,1
"146111",6,1226,"Pannonian","mod1",-0.615808772807486,0.071105535930642,-8.66048985845716,3.17087628400496e-10,14.4766280177496,1.50208690347126,9.63767674446445,2.20687921627582e-11,1
"148118",28,1226,"Pannonian","mod1",-0.750096377590951,0.0801581601456878,-9.35770452100757,2.91091990163789e-10,12.4573874851238,1.21887814652939,10.220371511783,4.01566378558747e-11,1
"151016",60,1226,"Pannonian","mod1",-0.792496836268084,0.074691754097485,-10.6102319572485,1.75942924592176e-12,12.1802517473282,1.04815108931991,11.6207022741648,1.44666885831828e-13,1
