"","r","area","area_original","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"931",78,7,11.51,"mod3",1.27666320620774,0.0248868947138315,51.298614025084,2.15228336483613e-16,NA,NA,NA,NA,0.99
"943",79,7,11.79,"mod3",1.32064742294435,0.0304108203462302,43.426892399108,1.85478133774475e-15,NA,NA,NA,NA,0.99
"955",80,7,14.22,"mod3",1.27534815926949,0.0254934370679795,50.0265286265134,4.17850385819314e-18,NA,NA,NA,NA,0.99
"967",81,7,11.06,"mod3",1.27964761730751,0.0281703380605733,45.4253553704591,1.32609595892488e-16,NA,NA,NA,NA,0.99
"979",82,7,10.37,"mod3",1.32886420926186,0.0283225169966711,46.9190012108759,6.82667345039893e-16,NA,NA,NA,NA,0.99
"991",83,7,16.63,"mod3",1.31332961641435,0.0213310190758408,61.5690048255505,1.91622770296854e-18,NA,NA,NA,NA,0.99
"1003",84,7,12.84,"mod3",1.3141021935403,0.0252029304170861,52.1408491708334,1.94487184879879e-17,NA,NA,NA,NA,0.99
"1015",85,7,10.61,"mod3",1.25802715524692,0.0222057840230613,56.6531293801842,5.95244726233026e-17,NA,NA,NA,NA,0.99
"1027",86,7,11.99,"mod3",1.25842446481178,0.0246430039036896,51.0661958960028,3.0743972019938e-18,NA,NA,NA,NA,0.99
"1039",87,7,7.53,"mod3",1.29108944124561,0.0212308256084707,60.8120223421969,2.37765026498369e-17,NA,NA,NA,NA,0.99
"1051",88,7,12.83,"mod3",1.27758005233245,0.0182048900233526,70.1778506046243,3.08412752220987e-19,NA,NA,NA,NA,0.99
"1063",89,7,10.04,"mod3",1.34676607775775,0.022102017655442,60.9340784517087,2.31667173202886e-17,NA,NA,NA,NA,0.99
"1075",90,7,12.88,"mod3",1.27582539858223,0.0250247936362163,50.98245432625,3.15060422747155e-18,NA,NA,NA,NA,0.99
"1087",91,7,12.28,"mod3",1.27426215996063,0.0282862515168391,45.0488167087835,1.99305343807401e-17,NA,NA,NA,NA,0.99
"1099",92,7,9.4,"mod3",1.30862170272232,0.0299483173764844,43.6960008895144,1.34257693541684e-14,NA,NA,NA,NA,0.99
"1111",93,7,14.09,"mod3",1.29264894078489,0.0273036180793865,47.3435035981844,6.07622751332009e-16,NA,NA,NA,NA,0.99
"1123",94,7,7.74,"mod3",1.2986480371752,0.0278973701751912,46.5509124702397,9.43353787691479e-17,NA,NA,NA,NA,0.99
"1135",95,7,12.46,"mod3",1.27640209644497,0.026967494982137,47.3311331768282,5.17261267436429e-15,NA,NA,NA,NA,0.99
"1147",96,7,13.19,"mod3",1.3205630798145,0.0284097727025609,46.4827048649868,7.70305800667801e-16,NA,NA,NA,NA,0.99
"1159",97,7,12.87,"mod3",1.26940009488951,0.0257625967833601,49.2729869416507,3.62468678046205e-16,NA,NA,NA,NA,0.99
"1171",98,7,10.41,"mod3",1.30611442541089,0.0273258582197612,47.7977458166841,4.1207305939923e-14,NA,NA,NA,NA,0.99
"1183",99,7,11.9,"mod3",1.28702816395621,0.0249425397948509,51.5997237868255,2.24912328772049e-17,NA,NA,NA,NA,0.99
"1195",100,7,7.61,"mod3",1.30109509525231,0.0197089729566644,66.0153676253514,8.20395322753597e-18,NA,NA,NA,NA,0.99
"8",1,8,15.91,"mod3",1.26080420087966,0.0228710564481718,55.1266271296548,1.11440902021439e-19,NA,NA,NA,NA,0.98
"20",2,8,13.58,"mod3",1.25312471067398,0.0213713805719779,58.6356462304114,3.81250735600059e-17,NA,NA,NA,NA,0.98
"32",3,8,15.86,"mod3",1.24904850148715,0.0163819795463882,76.2452729201786,7.69577107504728e-21,NA,NA,NA,NA,0.98
"44",4,8,18.96,"mod3",1.24747419909752,0.0220203450807233,56.6509831941536,7.21806363138474e-20,NA,NA,NA,NA,0.98
"56",5,8,16.31,"mod3",1.25816347836548,0.0218249881441862,57.647842466326,4.75105678150489e-17,NA,NA,NA,NA,0.98
"68",6,8,13.65,"mod3",1.24516933231659,0.0276627540028832,45.0124861822075,1.16701445040871e-15,NA,NA,NA,NA,0.98
"80",7,8,14.97,"mod3",1.25046694463777,0.0195711378845536,63.8934206081444,1.14256341040964e-18,NA,NA,NA,NA,0.98
"92",8,8,15.23,"mod3",1.23907946386449,0.0221244603690879,56.0049575534835,8.6644037974081e-20,NA,NA,NA,NA,0.98
"104",9,8,18.28,"mod3",1.23482044919499,0.0221097924084496,55.8494818215972,8.07888478985293e-19,NA,NA,NA,NA,0.98
"116",10,8,16.53,"mod3",1.24909170404021,0.0200710075139646,62.2336324258334,1.76238467182254e-17,NA,NA,NA,NA,0.98
"128",11,8,13.99,"mod3",1.31896438602797,0.0237857852584405,55.451790710165,7.85666692294583e-17,NA,NA,NA,NA,0.98
"140",12,8,12.03,"mod3",1.30455517252802,0.0163987660843597,79.5520325015332,1.03752932225629e-17,NA,NA,NA,NA,0.98
"152",13,8,18.85,"mod3",1.25261539594441,0.0205717145279783,60.890179777714,2.28650551101714e-20,NA,NA,NA,NA,0.98
"164",14,8,17.8,"mod3",1.26613656802897,0.0208886153213864,60.6137146262951,2.38336872039324e-18,NA,NA,NA,NA,0.98
"176",15,8,17.46,"mod3",1.24481903072182,0.0215188581413737,57.8478199235135,4.54265630994735e-17,NA,NA,NA,NA,0.98
"188",16,8,18.58,"mod3",1.24943366253626,0.0222726849614332,56.0971281504563,7.5623795453918e-19,NA,NA,NA,NA,0.98
"200",17,8,10.7,"mod3",1.26589471547337,0.023118779648433,54.7561218508855,9.29420945465578e-15,NA,NA,NA,NA,0.98
"212",18,8,13.04,"mod3",1.25832726850474,0.0253913025938172,49.557412970658,3.94731651655119e-17,NA,NA,NA,NA,0.98
"224",19,8,12.69,"mod3",1.26282794706749,0.0266549028976232,47.3769479452913,1.69090851372564e-19,NA,NA,NA,NA,0.98
"236",20,8,13.51,"mod3",1.25154668201181,0.0209868278457849,59.6348667463427,3.03346459066669e-19,NA,NA,NA,NA,0.98
"260",22,8,12.37,"mod3",1.26580357276728,0.0261836851843716,48.3432169251258,4.01772731300435e-15,NA,NA,NA,NA,0.98
"272",23,8,13.48,"mod3",1.29766863422394,0.0209733427556139,61.8722847065756,1.90052864248296e-17,NA,NA,NA,NA,0.98
"284",24,8,15.85,"mod3",1.25320144341822,0.0230726442380581,54.3154668571138,1.2244625949689e-18,NA,NA,NA,NA,0.98
"296",25,8,15.76,"mod3",1.28708780413627,0.0172390984411306,74.6609695705099,1.29886405805778e-19,NA,NA,NA,NA,0.98
"308",26,8,14.12,"mod3",1.29716621889876,0.0204346197047892,63.478852928922,1.36330234730642e-17,NA,NA,NA,NA,0.98
"320",27,8,14.55,"mod3",1.2468059355309,0.0210127224591226,59.3357637477199,3.27012636882275e-19,NA,NA,NA,NA,0.98
"332",28,8,14.46,"mod3",1.26032479132153,0.0196654026668829,64.0884304618868,1.09499100015438e-18,NA,NA,NA,NA,0.98
"344",29,8,13.28,"mod3",1.25990027743095,0.0276193292076202,45.6166139286012,1.25080532793298e-16,NA,NA,NA,NA,0.98
"356",30,8,14.55,"mod3",1.2468059355309,0.0210127224591226,59.3357637477199,3.27012636882275e-19,NA,NA,NA,NA,0.98
"368",31,8,16.62,"mod3",1.23716125529237,0.0211071625508779,58.6133381173452,3.92683984935943e-19,NA,NA,NA,NA,0.98
"380",32,8,11.29,"mod3",1.28820814399666,0.0235549924854184,54.6893888755904,9.39916986942748e-17,NA,NA,NA,NA,0.98
"392",33,8,15.74,"mod3",1.24612700366067,0.0257301278436442,48.4306572914479,6.77637669307884e-18,NA,NA,NA,NA,0.98
"404",34,8,14.35,"mod3",1.23790059045429,0.0258389301658919,47.9083531131779,6.32316132799543e-17,NA,NA,NA,NA,0.98
"416",35,8,16.66,"mod3",1.27558279471118,0.0220037861429047,57.9710594543524,4.62939815813353e-19,NA,NA,NA,NA,0.98
"428",36,8,15.85,"mod3",1.25320144341822,0.0230726442380581,54.3154668571138,1.2244625949689e-18,NA,NA,NA,NA,0.98
"440",37,8,14.55,"mod3",1.2468059355309,0.0210127224591226,59.3357637477199,3.27012636882275e-19,NA,NA,NA,NA,0.98
"452",38,8,11.76,"mod3",1.31075605705996,0.021496960769732,60.9740172622688,2.29708588116524e-17,NA,NA,NA,NA,0.98
"464",39,8,15.51,"mod3",1.28607197565574,0.0202972741461699,63.3618074227187,1.22602672508704e-19,NA,NA,NA,NA,0.98
"476",40,8,15.3,"mod3",1.23270730514377,0.0258837647132915,47.6247299725594,5.62827392225874e-16,NA,NA,NA,NA,0.98
"488",41,8,13.86,"mod3",1.30408114484357,0.0237638296424381,54.876725025612,8.99209163964864e-17,NA,NA,NA,NA,0.98
"500",42,8,11.32,"mod3",1.30009491538375,0.0259673181259035,50.0665840453833,3.42356212112445e-17,NA,NA,NA,NA,0.98
"512",43,8,16.79,"mod3",1.26279157345338,0.0241704374408581,52.2452924794292,2.61893900483993e-19,NA,NA,NA,NA,0.98
"524",44,8,13.98,"mod3",1.29028869054102,0.0244970821255438,52.6711174795628,1.68912378957538e-17,NA,NA,NA,NA,0.98
"536",45,8,16.09,"mod3",1.25889135930428,0.026566385566105,47.3866253341761,7.36424353498712e-17,NA,NA,NA,NA,0.98
"548",46,8,15.73,"mod3",1.26951604428746,0.0228964816140264,55.4459006273592,9.0029043635444e-19,NA,NA,NA,NA,0.98
"560",47,8,14.3,"mod3",1.26630815725018,0.024522647737759,51.6383129094321,2.22582073421173e-17,NA,NA,NA,NA,0.98
"572",48,8,13.48,"mod3",1.27712403130729,0.0222368281649541,57.4328326789012,5.80251610874608e-20,NA,NA,NA,NA,0.98
"584",49,8,12.38,"mod3",1.26184868849252,0.0258368090753692,48.8391846226657,4.0639317370275e-16,NA,NA,NA,NA,0.98
"596",50,8,17.9,"mod3",1.24357471981377,0.0203119397378642,61.2238287363357,2.17855341715626e-17,NA,NA,NA,NA,0.98
"608",51,8,15.12,"mod3",1.26275790426796,0.0180388328289306,70.0021956100591,2.47500083503533e-21,NA,NA,NA,NA,0.98
"620",52,8,17.63,"mod3",1.24074684358482,0.0195424890688872,63.4897038555936,1.1896239656571e-19,NA,NA,NA,NA,0.98
"632",53,8,13.14,"mod3",1.24483267560357,0.0256016350736784,48.623170825656,6.38716006288862e-18,NA,NA,NA,NA,0.98
"644",54,8,12.65,"mod3",1.25902961116057,0.0247511275765914,50.8675658215792,2.18731966803231e-15,NA,NA,NA,NA,0.98
"656",55,8,12.01,"mod3",1.25622581769709,0.0258606633438958,48.5767051290127,5.21400151216252e-17,NA,NA,NA,NA,0.98
"668",56,8,13.85,"mod3",1.27278792117478,0.0214507577788207,59.3353360426015,3.20866930063429e-18,NA,NA,NA,NA,0.98
"680",57,8,16.05,"mod3",1.21692971768866,0.021356548585045,56.9815723192659,5.98686514964443e-19,NA,NA,NA,NA,0.98
"692",58,8,16.54,"mod3",1.22949878943924,0.0185719989301708,66.2017478065796,7.90951611132232e-18,NA,NA,NA,NA,0.98
"704",59,8,10.03,"mod3",1.277953353351,0.0231341766811319,55.2409264857603,8.69609724036487e-18,NA,NA,NA,NA,0.98
"716",60,8,10.63,"mod3",1.277693570262,0.0246088806112093,51.9200198679501,2.0633457855995e-17,NA,NA,NA,NA,0.98
"728",61,8,13.87,"mod3",1.2365680791989,0.0189694380394015,65.1873859747674,7.71097809491892e-21,NA,NA,NA,NA,0.98
"740",62,8,14.2,"mod3",1.25792586110873,0.02170162365435,57.9645966193216,4.44521762791475e-18,NA,NA,NA,NA,0.98
"752",63,8,15.17,"mod3",1.25400758646111,0.0239002617611055,52.4683620202788,2.05222382354603e-18,NA,NA,NA,NA,0.98
"764",64,8,13.41,"mod3",1.28973863528931,0.0229434179638444,56.2138839697626,6.81732737244961e-18,NA,NA,NA,NA,0.98
"776",65,8,14.55,"mod3",1.2468059355309,0.0210127224591226,59.3357637477199,3.27012636882275e-19,NA,NA,NA,NA,0.98
"788",66,8,14.55,"mod3",1.2468059355309,0.0210127224591226,59.3357637477199,3.27012636882275e-19,NA,NA,NA,NA,0.98
"800",67,8,14.69,"mod3",1.26133342044333,0.0245949218604201,51.2843028167192,3.51888784783738e-19,NA,NA,NA,NA,0.98
"812",68,8,15.03,"mod3",1.24054848542248,0.0264846499865684,46.8402824296949,8.6540951688106e-17,NA,NA,NA,NA,0.98
"824",69,8,11.52,"mod3",1.30450865739306,0.0167772513080092,77.7546114940956,9.82103398511593e-19,NA,NA,NA,NA,0.98
"836",70,8,16.21,"mod3",1.23564422363204,0.0214888331636796,57.5016900275685,5.22709823630186e-19,NA,NA,NA,NA,0.98
"848",71,8,12.93,"mod3",1.29874130449699,0.025981003331717,49.9881120030311,3.00827258321059e-16,NA,NA,NA,NA,0.98
"860",72,8,15.65,"mod3",1.25910963779447,0.0252209163179974,49.9232312545275,3.56304257016597e-17,NA,NA,NA,NA,0.98
"872",73,8,13.89,"mod3",1.27004235121226,0.0209960903250351,60.4894688273417,2.54018061146047e-20,NA,NA,NA,NA,0.98
"884",74,8,12.96,"mod3",1.23866984679012,0.0255883203808992,48.4076261494187,5.47335067386664e-17,NA,NA,NA,NA,0.98
"896",75,8,15.88,"mod3",1.26914608462946,0.0193875731577632,65.4618334281443,7.21138840656735e-21,NA,NA,NA,NA,0.98
"908",76,8,12.6,"mod3",1.26450121582853,0.0266363439361079,47.4727770020412,7.18039271911932e-17,NA,NA,NA,NA,0.98
"920",77,8,16.05,"mod3",1.21692971768866,0.021356548585045,56.9815723192659,5.98686514964443e-19,NA,NA,NA,NA,0.98
"932",78,8,12.76,"mod3",1.25829754614626,0.0237200257444721,53.0478996819598,1.5294130771839e-17,NA,NA,NA,NA,0.98
"944",79,8,13.31,"mod3",1.3103801964433,0.0254932322826066,51.401100571203,2.09740754002528e-16,NA,NA,NA,NA,0.98
"956",80,8,14.79,"mod3",1.25397301064914,0.0238943275209561,52.4799456921046,2.04547417321513e-18,NA,NA,NA,NA,0.98
"968",81,8,13.28,"mod3",1.25990027743095,0.0276193292076202,45.6166139286012,1.25080532793298e-16,NA,NA,NA,NA,0.98
"980",82,8,11.89,"mod3",1.32122947360314,0.0283349284957802,46.6290032741712,6.18312520964237e-15,NA,NA,NA,NA,0.98
"992",83,8,18.85,"mod3",1.25261539594441,0.0205717145279783,60.890179777714,2.28650551101714e-20,NA,NA,NA,NA,0.98
"1004",84,8,16.42,"mod3",1.25640300878389,0.0234759246811425,53.5187868358226,1.52664917609498e-18,NA,NA,NA,NA,0.98
"1016",85,8,13.85,"mod3",1.24973750620356,0.0219004957838929,57.0643476995028,5.52953234417768e-18,NA,NA,NA,NA,0.98
"1028",86,8,15.47,"mod3",1.24651908413331,0.0250842328793036,49.6933308716723,4.61645871892195e-18,NA,NA,NA,NA,0.98
"1040",87,8,10.77,"mod3",1.28582886426011,0.0189093932146877,67.9994778077467,4.78993092064166e-19,NA,NA,NA,NA,0.98
"1064",89,8,12.26,"mod3",1.29905122929803,0.0210508801882209,61.7100671175223,1.96629748603018e-17,NA,NA,NA,NA,0.98
"1076",90,8,14.02,"mod3",1.24930262039166,0.0229846757335127,54.3537196206828,1.08978193448113e-17,NA,NA,NA,NA,0.98
"1088",91,8,13.42,"mod3",1.25306551838489,0.0240914397468177,52.0128946859813,2.01260300482472e-17,NA,NA,NA,NA,0.98
"1100",92,8,12.29,"mod3",1.26303530879701,0.0255243443706772,49.4835554032098,4.03015659251949e-17,NA,NA,NA,NA,0.98
"1112",93,8,14.66,"mod3",1.25799981024283,0.0238041627609327,52.8478914749926,1.61207487993136e-17,NA,NA,NA,NA,0.98
