"","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction","fraction"
"57",95,1,"mod2",NA,NA,NA,NA,9.10744023473745,1.84704666185872,4.93081221108537,0.00435654005523276,0.58,1
"58",97,1,"mod2",NA,NA,NA,NA,30.6642957187232,22.9555918593424,1.33580941439519,0.409098727225005,0.58,1
"59",1,2,"mod2",NA,NA,NA,NA,7.9165804364955,0.98641851054174,8.0255797634492,2.15772108227046e-05,0.58,1
"60",2,2,"mod2",NA,NA,NA,NA,5.96894593064451,1.00097015076157,5.96316076568629,0.000562595150587444,0.58,1
"61",3,2,"mod2",NA,NA,NA,NA,7.08390681463696,0.857257688843645,8.26345089326926,3.45584119267082e-05,0.58,1
"62",6,2,"mod2",NA,NA,NA,NA,6.38602105643334,1.21279325846479,5.26554795045372,0.00189128958786806,0.58,1
"63",7,2,"mod2",NA,NA,NA,NA,8.58017313430558,2.03711005863327,4.21193400815181,0.0135650898477925,0.58,1
"64",10,2,"mod2",NA,NA,NA,NA,8.05973469390112,1.63943482676985,4.91616657295313,0.00441213319800891,0.58,1
"65",11,2,"mod2",NA,NA,NA,NA,8.19592971485319,1.40692746225494,5.82541028925345,0.00112554064864976,0.58,1
"66",14,2,"mod2",NA,NA,NA,NA,9.27591536792066,1.44468330722206,6.42072578920917,0.000360119189284915,0.58,1
"67",15,2,"mod2",NA,NA,NA,NA,6.97211334131067,1.51676172245526,4.59670971260043,0.00370480684465985,0.58,1
"68",17,2,"mod2",NA,NA,NA,NA,12.1517389883615,1.56506107193479,7.76438645511707,5.41177930047613e-05,0.58,1
"69",18,2,"mod2",NA,NA,NA,NA,8.96843533894176,0.721756512426121,12.4258460914958,3.27584610410861e-08,0.58,1
"70",19,2,"mod2",NA,NA,NA,NA,9.7780849702645,1.62897283401489,6.00260775753069,0.00387635825049388,0.58,1
"71",21,2,"mod2",NA,NA,NA,NA,10.3563443533712,1.63238942236257,6.34428538404908,0.000718325415537447,0.58,1
"72",23,2,"mod2",NA,NA,NA,NA,8.72876244143859,1.73530410350232,5.03010534224034,0.004000474288658,0.58,1
"73",25,2,"mod2",NA,NA,NA,NA,30.6642957187232,22.9555918593424,1.33580941439519,0.409098727225005,0.58,1
"74",26,2,"mod2",NA,NA,NA,NA,10.3154763275499,1.65401250658736,6.23663744165593,0.000786607511612847,0.58,1
"75",28,2,"mod2",NA,NA,NA,NA,11.0393534497525,2.24430235674349,4.91883520800232,0.0079360153033167,0.58,1
"76",30,2,"mod2",NA,NA,NA,NA,8.58981283533126,1.9883644374749,4.32003946230289,0.0124470211107195,0.58,1
"77",31,2,"mod2",NA,NA,NA,NA,6.38602105643334,1.21279325846479,5.26554795045372,0.00189128958786806,0.58,1
