"","replicate","area","species","links","connectances","links_per_sp","indegrees","outdegrees","maxsims","basals","tops","intermediates","sd_gen","sd_vul","overlaps","S_tops","S_intermediates","S_basals","modularities","normalised_indegree","normalised_outdegree","resources","consumers","potential_indegree"
"47",1,47,188,704,0.0400500625782228,3.74468085106383,14.6666666666667,4.02285714285714,0,0.734042553191489,0.0638297872340425,0.191489361702128,2.96404209580391,0.907539618937742,0.48758865248227,12,36,138,0.240035608410835,3.91666666666667,1.07428571428571,175,48,15.3958333333333
"48",1,48,188,742,0.0422118557287519,3.9468085106383,15.4583333333333,4.19209039548023,0,0.73936170212766,0.0585106382978723,0.196808510638298,2.99443785867991,0.84855661110578,0.48758865248227,11,37,139,0.245207622647285,3.91666666666667,1.06214689265537,177,48,16.5416666666667
"49",1,49,189,771,0.0433975008443094,4.07936507936508,16.7608695652174,4.3314606741573,0,0.751322751322751,0.0582010582010582,0.185185185185185,2.9460755858336,0.841578658714073,0.528502415458937,11,35,142,0.216883584856987,4.10869565217391,1.06179775280899,178,46,17.5652173913043
"50",1,50,190,641,0.0357003620161515,3.37368421052632,14.5681818181818,3.77058823529412,0,0.721052631578947,0.0631578947368421,0.168421052631579,3.20542085887858,0.910281238179283,0.463002114164905,12,32,137,0.22715824842453,4.31818181818182,1.11764705882353,170,44,15.4318181818182
"51",1,51,191,796,0.043868834389639,4.16753926701571,16.936170212766,4.42222222222222,0,0.74869109947644,0.0575916230366492,0.18848167539267,2.87500712267034,0.855754843588377,0.541165587419056,11,36,143,0.221290975809097,4.06382978723404,1.06111111111111,180,47,17.6808510638298
"52",1,52,192,773,0.0421575043630017,4.02604166666667,15.46,4.22404371584699,0,0.739583333333333,0.0520833333333333,0.208333333333333,2.94038260136096,0.85757902183127,0.495510204081633,10,40,142,0.228342071175575,3.84,1.04918032786885,183,50,16.32
"53",1,53,193,811,0.0437715889464594,4.2020725388601,16.5510204081633,4.43169398907104,0,0.746113989637306,0.0569948186528497,0.196891191709845,2.88139512047287,0.856513353027994,0.521258503401361,11,38,144,0.213621735572815,3.93877551020408,1.05464480874317,183,49,17.1020408163265
"54",1,54,193,792,0.0427461139896373,4.10362694300518,16.1632653061224,4.35164835164835,0,0.746113989637306,0.0621761658031088,0.191709844559585,2.92730422445654,0.859033560271723,0.506802721088435,12,37,144,0.222853511571884,3.93877551020408,1.06043956043956,182,49,16.8163265306122
"55",1,55,193,787,0.0424762521588946,4.07772020725389,15.74,4.37222222222222,0,0.725388601036269,0.0569948186528497,0.202072538860104,2.91436167511837,0.867729209403807,0.497142857142857,11,39,140,0.231057733297348,3.86,1.07222222222222,180,50,16.4
"56",1,56,193,785,0.0423683074265976,4.06735751295337,16.3541666666667,4.3854748603352,0,0.746113989637306,0.0725388601036269,0.176165803108808,2.97963145006869,0.862359627815475,0.51063829787234,14,34,144,0.208484709262848,4.02083333333333,1.07821229050279,179,48,16.8333333333333
"57",1,57,194,803,0.0428930078521447,4.13917525773196,16.06,4.36413043478261,0,0.742268041237113,0.0567010309278351,0.201030927835052,2.94216444835907,0.846828555129955,0.502040816326531,11,39,144,0.197065353393555,3.88,1.05434782608696,184,50,16.58
"58",1,58,194,745,0.0397948827519897,3.84020618556701,15.5208333333333,4.11602209944751,0,0.747422680412371,0.0721649484536082,0.175257731958763,3.02427275803421,0.865090083712299,0.478723404255319,14,34,145,0.205588936805725,4.04166666666667,1.07182320441989,181,48,16.0208333333333
"59",1,59,194,778,0.0415576091020779,4.01030927835052,15.8775510204082,4.25136612021858,0,0.742268041237113,0.0567010309278351,0.195876288659794,3.00421410458846,0.840352914814456,0.488095238095238,11,38,144,0.24189555644989,3.95918367346939,1.06010928961749,183,49,16.4897959183673
