"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval","fraction"
"1080",1,57,16,"mod2",NA,NA,NA,NA,40.033850321022,1.19466616074617,33.510491580357,3.84483689932354e-24,0.88
"1099",1,58,16,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26,0.88
"1118",1,59,16,"mod2",NA,NA,NA,NA,40.01665028294,1.15290122682854,34.7095218148219,3.57930596457635e-25,0.88
"1137",1,60,16,"mod2",NA,NA,NA,NA,40.2189618165404,0.993532845815987,40.480757114284,4.63427449032975e-29,0.88
"1156",1,61,16,"mod2",NA,NA,NA,NA,38.797821028598,1.33990359940487,28.9556808757215,2.5917103455223e-21,0.88
"1175",1,62,16,"mod2",NA,NA,NA,NA,41.082104965496,1.16938515704717,35.1313720017048,6.22529943083944e-26,0.88
"1194",1,63,16,"mod2",NA,NA,NA,NA,41.0632206593757,1.2278163289332,33.444106982234,1.63678324209699e-23,0.88
"1232",1,65,16,"mod2",NA,NA,NA,NA,40.9110726758868,1.13433656350182,36.0660794972435,2.88212148604662e-26,0.88
"1270",1,67,16,"mod2",NA,NA,NA,NA,41.415962665493,1.17158226299109,35.3504520969417,5.18818204837743e-26,0.88
"1289",1,68,16,"mod2",NA,NA,NA,NA,36.9808375867673,1.10939337959218,33.3342872483715,7.30867642931407e-23,0.88
"1308",1,69,16,"mod2",NA,NA,NA,NA,39.6759021517809,1.12336494449075,35.318800311832,5.32624053283744e-26,0.88
"1327",1,70,16,"mod2",NA,NA,NA,NA,38.5138977481212,0.804763249319346,47.8574261196638,2.50509832756094e-25,0.88
"1346",1,71,16,"mod2",NA,NA,NA,NA,41.1572643879841,1.31285553191851,31.3494237464498,8.99549412017426e-23,0.88
"1365",1,72,16,"mod2",NA,NA,NA,NA,41.5597215722758,1.41580142321144,29.3542024262179,5.0569495626153e-22,0.88
"1384",1,73,16,"mod2",NA,NA,NA,NA,37.6212809490186,1.16192222282935,32.3784847297339,3.8439160556476e-23,0.88
"1403",1,74,16,"mod2",NA,NA,NA,NA,39.7795016829986,1.1567933986817,34.3877322677774,4.66029668351316e-25,0.88
"1422",1,75,16,"mod2",NA,NA,NA,NA,66.9327824324663,4.93661082111408,13.5584482670159,2.48966391006476e-14,0.88
"1460",1,77,16,"mod2",NA,NA,NA,NA,40.9084950251446,1.17857023060194,34.7102734847215,3.57710990560259e-25,0.88
"1479",1,78,16,"mod2",NA,NA,NA,NA,40.9533971201353,1.22864943646892,33.3320440351427,4.44908620023016e-24,0.88
"1498",1,79,16,"mod2",NA,NA,NA,NA,41.3242955995834,1.16673564877469,35.4187305779011,2.01713241174067e-25,0.88
"1517",1,80,16,"mod2",NA,NA,NA,NA,39.0214468669848,1.20162345073807,32.4739391887006,1.42043308387506e-22,0.88
"1555",1,82,16,"mod2",NA,NA,NA,NA,38.5442077451156,0.953543198190515,40.4220887089947,1.37380730141119e-23,0.88
"1574",1,83,16,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26,0.88
"1612",1,85,16,"mod2",NA,NA,NA,NA,40.3846320747298,1.07931668609712,37.416851416208,2.29517842284045e-27,0.88
"1631",1,86,16,"mod2",NA,NA,NA,NA,69.5945593538573,5.39981268055721,12.8883284422888,1.56774364644303e-13,0.88
"1650",1,87,16,"mod2",NA,NA,NA,NA,38.4612871127328,1.11563230785269,34.4748774681517,4.33784026334121e-25,0.88
"1669",1,88,16,"mod2",NA,NA,NA,NA,38.4601332688345,1.12978815707584,34.0418980566928,6.20495326447015e-25,0.88
"1688",1,89,16,"mod2",NA,NA,NA,NA,67.1982385673434,5.26508071536184,12.7630025445346,3.43229568197638e-13,0.88
"1707",1,90,16,"mod2",NA,NA,NA,NA,38.8350219360019,0.93494468408451,41.5372402208253,2.06264451291533e-29,0.88
"1726",1,91,16,"mod2",NA,NA,NA,NA,36.9651256209056,1.22737849758631,30.1171363956589,2.58004672363623e-22,0.88
"1745",1,92,16,"mod2",NA,NA,NA,NA,39.556280192556,1.20616946325906,32.794960739327,4.54540715441781e-22,0.88
"1764",1,93,16,"mod2",NA,NA,NA,NA,38.4432417630367,1.06790254215497,35.9988297110524,7.40646276688633e-27,0.88
"1783",1,94,16,"mod2",NA,NA,NA,NA,40.8311073966411,1.05159278120146,38.8278696150719,1.79196422816437e-22,0.88
"1802",1,95,16,"mod2",NA,NA,NA,NA,38.5651911920917,1.07596526639778,35.8424127585493,1.43948906632537e-25,0.88
"1821",1,96,16,"mod2",NA,NA,NA,NA,37.7299076889515,1.11287864205954,33.9029848026617,2.01578306259764e-22,0.88
"1840",1,97,16,"mod2",NA,NA,NA,NA,38.4480984880523,1.04966318731193,36.6289862813171,7.77185836731021e-26,0.88
"1859",1,98,16,"mod2",NA,NA,NA,NA,38.1384815264513,1.18355765357714,32.2235941875607,4.36147049890667e-23,0.88
"1878",1,99,16,"mod2",NA,NA,NA,NA,38.0594426103668,1.32723261838327,28.6757890690841,3.31171945300807e-21,0.88
"1897",1,100,16,"mod2",NA,NA,NA,NA,40.3866279107143,1.21953539178108,33.1164049710204,5.31261853357157e-24,0.88
"17",1,1,17,"mod2",NA,NA,NA,NA,41.3242955995834,1.16673564877469,35.4187305779011,2.01713241174067e-25,0.97
"36",1,2,17,"mod2",NA,NA,NA,NA,41.3257393069182,1.13819944647464,36.3079945565928,9.97911079295371e-26,0.97
"55",1,3,17,"mod2",NA,NA,NA,NA,39.1585522825685,1.10726489132898,35.3651168651875,3.74293939957452e-24,0.97
"74",1,4,17,"mod2",NA,NA,NA,NA,41.4227808891918,1.35185561713258,30.641423806082,6.19702744569944e-22,0.97
"93",1,5,17,"mod2",NA,NA,NA,NA,41.6646937981613,1.26313964841923,32.985025725622,1.5145026587023e-24,0.97
"112",1,6,17,"mod2",NA,NA,NA,NA,39.5520039146156,1.159806915142,34.1022314992605,1.4871702673794e-25,0.97
"131",1,7,17,"mod2",NA,NA,NA,NA,39.7311003911925,1.26263310417922,31.4668610063252,3.15957129456472e-22,0.97
"150",1,8,17,"mod2",NA,NA,NA,NA,42.0706071396601,1.16796361852011,36.0204774126153,5.31888300804442e-25,0.97
"169",1,9,17,"mod2",NA,NA,NA,NA,38.6104569055224,1.18691323920847,32.5301425833544,5.54192172748398e-22,0.97
"188",1,10,17,"mod2",NA,NA,NA,NA,38.8850318880352,1.18339360558189,32.858916682176,1.68770805427422e-24,0.97
"207",1,11,17,"mod2",NA,NA,NA,NA,40.7382670452036,1.05265323497974,38.7005574974439,1.90037629448447e-28,0.97
"226",1,12,17,"mod2",NA,NA,NA,NA,42.638035516956,1.25427205601115,33.994248147849,1.06404277173444e-23,0.97
"245",1,13,17,"mod2",NA,NA,NA,NA,39.6146990884237,1.19052867834723,33.2748801510766,1.87117529209787e-23,0.97
"264",1,14,17,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26,0.97
"283",1,15,17,"mod2",NA,NA,NA,NA,40.8086049723839,1.0903223421029,37.4280186661832,2.27448608989221e-27,0.97
"302",1,16,17,"mod2",NA,NA,NA,NA,40.4422997870748,1.23760744115418,32.6778091681145,7.64685096896149e-24,0.97
"321",1,17,17,"mod2",NA,NA,NA,NA,41.0832249524053,1.06424617877191,38.6031218827709,8.89546770687137e-28,0.97
"340",1,18,17,"mod2",NA,NA,NA,NA,40.0283692369722,1.19113184886469,33.6053219256329,8.94157930109509e-25,0.97
"359",1,19,17,"mod2",NA,NA,NA,NA,40.4102306317935,1.11078629502426,36.3798426509313,9.43433780234986e-26,0.97
"378",1,20,17,"mod2",NA,NA,NA,NA,39.0425561907776,1.36789921855555,28.5419829627545,4.92860655385076e-20,0.97
"397",1,21,17,"mod2",NA,NA,NA,NA,66.2805448503941,5.23526733613241,12.6603935567805,4.16604522704546e-13,0.97
"416",1,22,17,"mod2",NA,NA,NA,NA,39.2028435544701,1.19575055772899,32.7851350777752,1.79841832232626e-24,0.97
"435",1,23,17,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26,0.97
"454",1,24,17,"mod2",NA,NA,NA,NA,41.0489622788408,1.14581798278121,35.8250288402736,3.50883657222542e-26,0.97
"473",1,25,17,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26,0.97
"492",1,26,17,"mod2",NA,NA,NA,NA,41.6806054504073,1.47233837973123,28.309121071758,5.96680386359603e-20,0.97
"511",1,27,17,"mod2",NA,NA,NA,NA,40.6774841600301,1.24397636966225,32.6995633936957,2.96377675420359e-23,0.97
"530",1,28,17,"mod2",NA,NA,NA,NA,37.8120745790513,0.843435339225104,44.8310295058192,2.08345792396896e-25,0.97
"549",1,29,17,"mod2",NA,NA,NA,NA,41.8841959206033,1.06905027265813,39.1788833433069,2.48047445314409e-25,0.97
"568",1,30,17,"mod2",NA,NA,NA,NA,38.3118950411056,1.38005537540373,27.7611288097028,3.43693680457601e-19,0.97
"587",1,31,17,"mod2",NA,NA,NA,NA,42.6610443030293,1.55529265457441,27.4295928663683,1.2451585303793e-19,0.97
"606",1,32,17,"mod2",NA,NA,NA,NA,38.3080751364226,1.37779007887908,27.8039998426964,2.53402038248458e-20,0.97
"625",1,33,17,"mod2",NA,NA,NA,NA,40.1169811309763,1.17524327705159,34.135044134539,9.54019893161737e-24,0.97
"644",1,34,17,"mod2",NA,NA,NA,NA,40.9924706716623,1.16160171891931,35.2896091698274,5.45692914334629e-26,0.97
