"","s_type","r","area","model","a","a.std.err","a.tval","a.pval","b","b.std.err","b.tval","b.pval"
"4807",3,96,7,"mod1",-0.0404637134644969,0.0236564338320175,-1.71047393499065,0.101245336002976,31.1833270652122,2.37910223245898,13.1071824656236,7.16923076299194e-12
"4808",3,96,8,"mod2",NA,NA,NA,NA,39.6262410029446,1.20979045544318,32.7546318659195,2.83519662937964e-23
"4809",3,96,9,"mod2",NA,NA,NA,NA,34.3833200518949,0.775914627297619,44.3132773146013,1.55653312165934e-24
"4810",3,96,10,"mod2",NA,NA,NA,NA,67.4776650065421,6.10428319713925,11.0541504755489,2.52796257537943e-11
"4811",3,96,11,"mod2",NA,NA,NA,NA,36.60217618484,0.857814785521497,42.6690898812011,2.56598148216645e-26
"4812",3,96,12,"mod2",NA,NA,NA,NA,37.2174765255868,0.967562287834957,38.465199598535,8.76199323758151e-26
"4813",3,96,13,"mod2",NA,NA,NA,NA,41.3358880812019,0.958247213757512,43.1369770636892,1.91936588262075e-26
"4814",3,96,14,"mod2",NA,NA,NA,NA,72.1367420890722,6.27458827586634,11.4966494879877,1.61543809708166e-12
"4815",3,96,15,"mod2",NA,NA,NA,NA,42.1194861583284,0.889991086740737,47.3257393088906,6.52892041775525e-32
"4816",3,96,16,"mod2",NA,NA,NA,NA,42.38206234453,1.00424769122987,42.2027978900564,1.37544724433951e-27
"4817",3,96,17,"mod2",NA,NA,NA,NA,43.4371984809097,0.970547660294554,44.7553481997235,4.01087738034646e-31
"4818",3,96,18,"mod2",NA,NA,NA,NA,43.4371984809097,0.970547660294554,44.7553481997235,4.01087738034646e-31
"4819",3,96,19,"mod2",NA,NA,NA,NA,43.4371984809097,0.970547660294554,44.7553481997235,4.01087738034646e-31
"4820",3,96,20,"mod2",NA,NA,NA,NA,43.4371984809097,0.970547660294554,44.7553481997235,4.01087738034646e-31
"4821",3,97,1,"mod1",-0.0989259165310116,0.0463235532277425,-2.13554249702431,0.0523183621607681,16.6015875083607,1.84541862212125,8.99610923470456,6.05101766589433e-07
"4822",3,97,2,"mod2",NA,NA,NA,NA,26.927480759249,1.12699847020366,23.893094330805,9.53133941444596e-13
"4823",3,97,3,"mod2",NA,NA,NA,NA,29.172549274992,1.01285250584059,28.8023666889001,2.30105441849361e-18
"4824",3,97,4,"mod2",NA,NA,NA,NA,41.3808473335303,4.70863592273263,8.78828773610407,6.2683869256027e-08
"4825",3,97,5,"mod2",NA,NA,NA,NA,27.4392570271384,0.741122539820761,37.0239137967312,2.58784381757701e-21
"4826",3,97,6,"mod2",NA,NA,NA,NA,32.2572879517746,0.919593511748665,35.0777681004245,1.94453951088774e-19
"4827",3,97,7,"mod2",NA,NA,NA,NA,36.0399335854209,0.942534754148454,38.2372463474641,1.03175423881959e-25
"4828",3,97,8,"mod2",NA,NA,NA,NA,36.4176647354342,0.93662316438622,38.8818749313114,3.44338412419798e-23
"4829",3,97,9,"mod2",NA,NA,NA,NA,40.5665076855533,1.32409897072543,30.637066097354,9.40570513414454e-21
"4830",3,97,10,"mod2",NA,NA,NA,NA,35.0564087366831,1.03418514309158,33.8976139532287,4.7721756681629e-23
"4831",3,97,11,"mod2",NA,NA,NA,NA,39.4510523255304,0.93552816753972,42.1698177504158,3.50992720915729e-26
"4832",3,97,12,"mod2",NA,NA,NA,NA,41.250948594446,0.96870637541806,42.5835419702317,4.4845480809509e-29
"4833",3,97,13,"mod2",NA,NA,NA,NA,38.715410882794,0.916170316798692,42.2578751711521,3.32040034477226e-26
"4834",3,97,14,"mod2",NA,NA,NA,NA,43.0776302794313,1.06009340258191,40.6356932082714,1.86773045986534e-28
"4835",3,97,15,"mod2",NA,NA,NA,NA,74.6433498929804,5.85194809899291,12.7552993687395,4.31629432420296e-14
"4836",3,97,16,"mod2",NA,NA,NA,NA,41.4790929224576,0.813703301606551,50.9756969654204,1.05801333456148e-33
"4837",3,97,17,"mod2",NA,NA,NA,NA,42.7319647472301,1.00626727060808,42.4658199619346,1.02915011629747e-29
